제목,사건번호,선고일자,참조조문,판시사항
강제추행[의료인의 진료 과정에서 이루어진 행위가 추행에 해당하는지 문제된 사건],2022도9676,2025. 6. 5.,"형법 제13조, 형법 제298조, 형사소송법 제307조, 형사소송법 제308조","[1] 피고인이 공소사실을 부인하는 성폭력 사건에서 공소사실에 부합하는 직접증거로 사실상 피해자의 진술이 유일한 경우, 피해자의 진술이 합리적인 의심을 배제할 만한 신빙성이 있는지 판단하는 방법 
 [2] 추행의 의미 및 강제추행죄의 주관적 구성요건요소로 ‘성욕을 자극·흥분·만족시키려는 주관적 동기나 목적’이 있어야 하는지 여부(소극) / 환자의 내밀한 신체 부위를 대상으로 하는 진단 및 치료 과정에서 이루어지는 의료인의 신체접촉 행위 등이 추행인지 판단하는 방법
 [3] 한의사인 피고인이 진료를 하는 과정에서 甲의 가슴과 음부를 손가락으로 눌러 강제로 추행하였다는 내용으로 기소된 사안에서, 공소사실을 유죄로 인정한 원심판단을 수긍한 사례"
공직선거법위반[여론조사 공표·보도금지기간 중의 결과 값을 게시하였으나 실제 행해진 여론조사 결과 값이 아니었던 사건],2023도11997,2025. 6. 5.,공직선거법 제108조,"[1] 공직선거법 제108조 제1항에 따라 공표나 보도가 금지되는 ‘여론조사의 경위와 그 결과’는 ‘공표·보도금지기간 중의 날을 조사일시로 하여 실제 행해진 여론조사의 경위와 그 결과’에 한정되는지 여부(적극)
 [2] 피고인들이 각각 공표·보도금지기간 중 카카오톡 단체채팅방에 전국동시지방선거 甲 지역 지방자치단체장 선거와 관련한 여론조사 지지율이 표시된 그래프 1개를 게시하여 공직선거법 위반으로 기소된 사안에서, 위 그래프의 결과 값은 모두 공직선거법 제108조 제1항에서 공표를 금지하는 여론조사결과에 해당하지 않아, 피고인들이 공표·보도금지기간 중 공표가 금지되는 여론조사결과를 공표한 것으로 볼 수 없음에도, 이와 달리 본 원심판단에 법리오해의 잘못이 있다고 한 사례"
범죄수익은닉의규제및처벌등에관한법률위반·금융실명거래및비밀보장에관한법률위반[상품권 매매업체인 것처럼 가장하여 설립된 법인 명의의 계좌를 인터넷 도박 범죄조직 등에 제공한 사건],2025도676,2025. 6. 5.,"금융실명거래 및 비밀보장에 관한 법률 제1조, 금융실명거래 및 비밀보장에 관한 법률 제2조, 금융실명거래 및 비밀보장에 관한 법률 제3조, 금융실명거래 및 비밀보장에 관한 법률 제6조, 특정 금융거래정보의 보고 및 이용 등에 관한 법률 제2조","금융실명거래 및 비밀보장에 관한 법률 제3조 제3항, 제6조 제1항에서 불법·탈법적 목적에 의한 타인 실명의 금융거래를 처벌하는 취지 / 범죄 등의 목적으로 타인의 실명으로 금융거래를 한 경우, 같은 법 제6조 제1항 위반죄가 성립하는지 여부(적극) / 법인의 대표자 지위에 있는 행위자가 형식적으로는 법인 명의로 금융거래를 하였으나 실질적으로는 자신의 범죄 등을 위하여 법인 명의를 수단으로 삼아 자신의 금융거래를 한 것으로 평가할 수 있는 경우, 그 금융거래가 같은 법 제3조 제3항, 제6조 제1항에서 처벌하는 ‘타인의 실명으로 한 금융거래’에 해당하는지 여부(적극) 및 이러한 금융거래에 해당하는지 판단하는 기준"
성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영·반포등)[예비적죄명:성폭력범죄의처벌등에관한특례법위반(카메라등이용촬영물소지등)]·상해·재물손괴[휴대전화의 영상통화기능을 이용하여 전송된 영상정보를 휴대전화의 녹화기능을 이용하여 녹화·저장·소지한 행위가 「성폭력범죄의 처벌 등에 관한 특례법」 제14조 제1항 및 제4항 위반에 해당하는지 문제된 사건],2024도16133,2025. 6. 5.,성폭력범죄의 처벌 등에 관한 특례법 제14조,"[1] 성폭력범죄의 처벌 등에 관한 특례법 제14조 제1항에서 규정한 ‘사람의 신체를 촬영한 행위’에 사람의 신체 그 자체를 직접 촬영하는 행위만 해당하는지 여부(적극)
 [2] 휴대전화 영상통화기능을 이용하여 통화하는 일방 당사자가 자신의 신체를 직접 휴대전화 카메라에 비춰 생성한 영상정보를 상대방에게 전송한 경우, 성폭력범죄의 처벌 등에 관한 특례법 제14조 제2항 후단에서 정한 ‘촬영대상자의 의사에 반하지 아니한 경우(자신의 신체를 직접 촬영한 경우를 포함)의 촬영물’에 해당하는지 여부(적극) / 영상통화 상대방이 이와 같이 전송된 영상정보를 휴대전화 녹화기능을 이용하여 녹화·저장한 동영상이 위 조항 후단에서 정한 촬영물의 ‘복제물’에 해당하는지 여부(적극)
 [3] 성폭력범죄의 처벌 등에 관한 특례법 제14조 제4항에서 정하고 있는 ‘제1항 또는 제2항의 촬영물 등’의 의미"
마약류관리에관한법률위반(향정)·도로교통법위반(음주운전)·도로교통법위반·도로교통법위반(무면허운전)[「마약류 관리에 관한 법률」 위반(향정)죄의 불능미수범에 대해 이수명령을 부과할 수 있는지 여부가 문제된 사건],2025도2199,2025. 5. 29.,"마약류 관리에 관한 법률 제2조, 마약류 관리에 관한 법률 제4조, 마약류 관리에 관한 법률 제40조의2, 마약류 관리에 관한 법률 제60조, 형법 제27조","마약류 관리에 관한 법률 제40조의2에서 ‘마약류사범’에 대하여 선고유예 외의 유죄판결을 선고하거나 약식명령을 고지하는 경우에 수강명령이나 이수명령을 원칙적으로 병과하도록 한 취지 / 마약류 관리에 관한 법률 제2조 제3호 (나)목이 정한 향정신성의약품을 투약, 흡연 또는 섭취한다는 고의로 같은 호 (가)목이 정한 향정신성의약품을 투약, 흡연 또는 섭취한 사람이 같은 법 제40조의2 제1항에서 정한 수강명령이나 이수명령 대상인 ‘마약류사범’에 해당하는지 여부(적극)"
조세범처벌법위반[주류를 공급받아 거래처에 공급한 주류도매업체 영업사원이 면허를 받지 아니하고 주류를 판매한 자에 해당하는지 문제된 사건],2021도97,2025. 5. 29.,"조세범 처벌법 제6조, 주류 면허 등에 관한 법률 제5조, 주세법 제8조, 형사소송법 제307조, 형사소송법 제308조","[1] 구 조세범 처벌법 제6조에서 처벌하는 ‘면허를 받지 아니하고 주류를 판매한 자’의 의미(=자기의 계산과 책임으로 주류를 판매한 자) 및 그 판단 기준
 [2] 피고인에게 유죄를 인정하기 위한 증명의 정도(=합리적인 의심이 없는 정도)
 [3] 피고인이 주류도매업체인 甲 합자회사 소속 영업사원으로 甲 회사로부터 주류를 공급받아 피고인이 관리하는 거래처에 주류를 공급하면서 매출에 따른 일정 비율의 수익을 분배받고 4대 보험료 및 주류 배달 영업과 관련된 각종 비용을 직접 부담하는 방식으로 무면허 주류판매업을 영위하였다는 구 조세범 처벌법 위반으로 기소된 사안에서, 제반 사정을 종합할 때 피고인이 주류 판매의 주요 부분을 실질적으로 지배·장악하였다거나 자기의 계산과 책임으로 주류를 판매하였다는 점이 합리적인 의심을 배제할 정도로 증명되었다고 보기 어렵다는 이유로, 이와 달리 본 원심판결에 법리오해 등의 잘못이 있다고 한 사례"
기소전추징보전인용결정에대한재항고[수용자의 보관금 반환채권에 관하여 기소 전 추징보전이 가능한지가 문제된 사건],2025모201,2025. 5. 16.,"마약류 불법거래 방지에 관한 특례법 제54조, 민사집행법 제246조, 민사집행법 제291조, 민사집행법 시행령 제7조, 부패재산의 몰수 및 회복에 관한 특례법 제8조, 형의 집행 및 수용자의 처우에 관한 법률 시행령 제38조",수용자가 대한민국에 대하여 가지는 보관금 반환채권이 민사집행법 제246조 제1항 제2호 또는 제8호에서 정한 압류금지채권에 해당하는지 여부(소극) 및 위 채권에 관하여 민사집행법 제246조 제1항 제8호를 유추적용할 수 있는지 여부(소극) / 수용자의 보관금 반환채권에 관하여 압류가 가능한지 여부(적극) 및 법원은 수용자의 생활형편 등을 고려하여 민사집행법 제246조 제3항에 따라 압류명령의 전부 또는 일부를 취소할 수 있는지 여부(적극)
마약류관리에관한법률위반(향정)[형법 제37조 후단의 경합범 전과 해당 여부가 문제된 사건],2025도470,2025. 5. 15.,"형법 제37조, 형법 제65조","형법 제37조 후단의 경합범에서 ‘판결이 확정된 죄’의 의미 / 집행유예를 선고한 확정판결에 의한 형의 선고가 형법 제65조에 따라 그 효력을 잃었으나 확정판결을 받은 죄의 존재가 이에 의하여 소멸되지 않는 경우, 위 확정판결을 받은 죄가 형법 제37조 후단에서 정한 ‘판결이 확정된 죄’에 해당하는지 여부(적극)"
무고·폭행[무고죄에서 ‘신고된 사실’ 자체가 형사처분의 원인이 될 수 있는지가 문제된 사건],2025도1084,2025. 5. 15.,형법 제156조,"허위의 사실을 신고한 행위가 무고죄를 구성하기 위하여는 ‘신고된 사실’ 자체가 형사처분 또는 징계처분의 원인이 될 수 있어야 하는지 여부(적극) 및 이때 ‘징계처분’의 의미(=공법상의 감독관계에서 질서유지를 위하여 과하는 신분적 제재) / 허위의 사실을 신고하였으나 신고된 사실이 사법적 법률행위의 성격을 가진 징계처분의 원인에 불과한 경우, 무고죄가 성립하는지 여부(소극)"
부정경쟁방지및영업비밀보호에관한법률위반(영업비밀국외누설등)·산업기술의유출방지및보호에관한법률위반·부정경쟁방지및영업비밀보호에관한법률위반[「산업기술의 유출방지 및 보호에 관한 법률」제정 전 취득한 기술을 사용·공개한 것이 위 법 제14조 제1호에 따른 사용·공개행위에 해당하는지 여부가 문제된 사안],2024도21051,2025. 5. 15.,"대한민국헌법 제12조, 대한민국헌법 제13조, 산업기술의 유출방지 및 보호에 관한 법률 제2조, 산업기술의 유출방지 및 보호에 관한 법률 제14조, 산업기술의 유출방지 및 보호에 관한 법률 제36조, 형법 제1조","죄형법정주의에 따른 형벌법규 해석 원칙 / 구 산업기술의 유출방지 및 보호에 관한 법률에서 금지·처벌하는 산업기술의 사용행위 또는 공개행위의 대상 기술은 취득 당시에도 산업기술의 유출방지 및 보호에 관한 법률에 의하여 보호되는 ‘산업기술’에 해당하여야만 하는지 여부(적극) / 산업기술의 유출방지 및 보호에 관한 법률이 제정, 시행되기 전에 취득한 기술로서 법령이 규정한 바에 따라 지정 또는 고시·공고되지 않은 기술도 취득 당시 위 법에 의하여 보호되는 ‘산업기술’에 해당하는지 여부(소극)"
부패방지및국민권익위원회의설치와운영에관한법률위반·농지법위반·공무상비밀누설[공무원이 업무처리 중 알게 된 택지 개발 정보를 이용하여 지인들로 하여금 토지를 취득하게 하는 등의 행위로 기소된 사건],2024도16239,2025. 5. 15.,"공직자의 이해충돌 방지법 제14조, 공직자의 이해충돌 방지법 제27조, 군사법원법 제2조, 군사법원법 제146조, 군사법원법 제258조, 군사법원법 제359조, 부패방지 및 국민권익위원회의 설치와 운영에 관한 법률 제7조의2, 부패방지 및 국민권익위원회의 설치와 운영에 관한 법률 제86조, 형법 제37조, 형법 제127조","[1] 법조경합의 한 형태인 특별관계의 의미 및 법조경합인지 실질적 수죄인지 판단하는 기준 / 공직자가 업무처리 중 알게 된 비밀을 이용하여 재물 또는 재산상 이익을 취득하거나 제3자로 하여금 취득하게 한 경우, 구 부패방지 및 국민권익위원회의 설치와 운영에 관한 법률 제86조 제1항 위반죄만 성립하는지 여부(적극) 및 별도로 형법상 공무상비밀누설죄가 성립하는지 여부(소극)
 [2] 군사법원법상 압수의 대상 / 신분적 재판권에 관하여 군사법원법 제2조가 정한 군인, 군무원 등이 아닌 사람이 소유·소지·보관하고 있는 물건도 해당 압수·수색영장의 범죄 혐의사실과의 관련성과 압수할 필요성이 인정되는 경우에는 군사법원법상 압수의 대상이 될 수 있는지 여부(원칙적 적극)"
업무상과실치상[파킨슨병 환자에게 투여가 금지되고 고령자에게 신중한 투여가 권고되는 맥페란주사액을 투여한 의사의 행위가 업무상과실치상죄에 해당하는지 문제된 사건],2024도9443,2025. 5. 15.,"형법 제17조, 형법 제268조, 형사소송법 제307조, 형사소송법 제308조","[1] 의사에게 의료행위로 인한 업무상과실치사상죄를 인정하기 위해서 증명해야 할 내용 및 증명 정도 / 의사의 업무상 과실이 증명되었다는 사정만으로 그로 인하여 환자에게 상해·사망 등 결과가 발생하였다는 인과관계가 추정되거나 증명 정도가 경감되는지 여부(소극)
 [2] 의사인 피고인이 영양제 주사를 맞기 위해 내원한 파킨슨병 환자 甲에 대하여 파킨슨병 환자에게 투여가 금지되고 고령자에게 신중한 투여가 권고되는 맥페란주사액을 투여함으로써 甲에게 치료기간을 알 수 없는 전신쇠약, 일시적 의식상실, 발음장애 및 파킨슨증 악화 등의 상해를 입게 하였다는 업무상과실치상의 공소사실로 기소된 사안에서, 피고인에게 맥페란주사액 처방 당시 甲이 파킨슨병을 앓고 있다는 사정을 제대로 확인하지 않은 업무상 과실이 인정된다고 하더라도, 검사가 제출한 증거만으로는 이러한 과실로 인하여 甲에게 각 상해가 발생하였는지가 합리적인 의심의 여지가 없을 정도로 증명되었다고 보기 어렵다고 한 사례"
공직선거법위반[허위사실 공표에 의한 공직선거법위반 사건],2025도4697,2025. 5. 1.,공직선거법 제250조,"[1] 어떤 표현이 허위사실을 공표한 것인지 판단하는 기준 / 표현의 주체와 대상 등에 따라 정치적 표현의 자유를 보호하는 정도가 달라지는지 여부(적극) / 공직선거법 제250조 제1항 허위사실공표죄에서 공직 후보자의 어떤 표현이 허위사실 공표에 해당하는지 판단할 때 고려할 사항
 [2] 공직선거법 제250조 제1항에서 열거하고 있는 허위사실 공표의 대상 중 후보자의 ‘행위’의 의미
 [3] 어떤 발언이 허위사실 공표에 해당하는지 밝혀보기 위해 발언의 의미를 확정하는 방법 및 특히 특정된 하나의 주제 관련 질문에 답변한 일련의 발언 내용이 자연스럽게 연결되어 있는 경우, 연결된 발언의 의미를 해석하는 방법
 [4] 공직선거법 제250조 제1항의 허위사실공표죄에서 말하는 ‘사실’의 구체성 정도 및 ‘사실’ 공표의 의미 / 어떠한 표현이 사실의 적시인지, 의견이나 추상적 판단의 표현인지 구별하는 방법
 [5] 공직선거법 제250조 제1항에서 말하는 ‘허위의 사실’의 의미 및 구체성 정도 / 공표된 사실 세부에 진실과 약간 차이가 있거나 다소 과장된 표현이 있으나 내용 전체의 취지를 살펴볼 때 중요한 부분이 객관적 사실과 합치되는 경우, 이를 허위사실이라고 할 수 있는지 여부(소극) / 이때 어떤 사실이 세부에 진실과 약간 차이가 나거나 다소 과장된 표현에 불과한 것인지 판단하는 방법
 [6] 20대 대통령선거 甲 당 소속 후보자로 출마하였던 피고인이 특혜 의혹이 확산되던 대장동 도시개발사업 실무 책임자인 乙과의 관계를 해명하기 위해 방송프로그램에 출연하여 乙 관련 발언을 하고, 백현동 부지 개발사업과 관련하여 민간업자에게 특혜를 주었다는 의혹을 해명하기 위해 국정감사에서 백현동 관련 발언을 하여 대통령에 당선될 목적으로 거짓말함으로써 후보자에게 유리하도록 그 행위에 관하여 허위의 사실을 공표하였다는 공소사실로 기소된 사안에서, 피고인의 乙 관련 발언 중 골프 발언 부분과 백현동 관련 발언은 공직선거법 제250조 제1항의 허위사실공표죄에 해당함에도, 위 부분 공소사실을 무죄로 본 원심판단에 법리오해의 잘못이 있다고 한 사례"
근로자참여및협력증진에관한법률위반[노사협의회 의장인 피고인이 ‘정기회의’를 개최하지 않은 사건],2025도2059,2025. 5. 1.,"근로자참여 및 협력증진에 관한 법률 제3조, 근로자참여 및 협력증진에 관한 법률 제12조, 근로자참여 및 협력증진에 관한 법률 제20조, 근로자참여 및 협력증진에 관한 법률 제21조, 근로자참여 및 협력증진에 관한 법률 제22조, 근로자참여 및 협력증진에 관한 법률 제31조, 근로자참여 및 협력증진에 관한 법률 제32조","노사협의회는 근로자참여 및 협력증진에 관한 법률 제20조 제1항, 제21조의 ‘협의 사항’, ‘의결 사항’ 등에 관한 구체적 안건이 존재하는지와 관계없이 같은 법 제12조 제1항에 따라 3개월마다 정기적으로 ‘정기회의’를 개최하여야 하는지 여부(적극) / 사용자는 ‘정기회의’에 ‘경영계획 전반 및 실적에 관한 사항, 분기별 생산계획과 실적에 관한 사항, 인력계획에 관한 사항, 기업의 경제적·재정적 상황’을 성실하게 보고하거나 설명하여야 하는지 여부(적극)"
